frequency,time,speedup,efficiency
20.0,1035.76,6.258322391287557,0.7822902989109446
10.0,211.2,13.487784090909091,1.6859730113636364
6.666666666666667,65.86,30.275129061645917,3.7843911327057396
5.0,39.4,30.3015228426396,3.78769035532995
4.0,29.94,27.559118236472944,3.444889779559118
3.3333333333333335,23.44,23.924061433447097,2.990507679180887
2.857142857142857,19.76,19.67408906882591,2.459261133603239
2.5,17.3,14.961849710982657,1.870231213872832
2.2222222222222223,15.44,10.617875647668393,1.3272344559585492
2.0,14.42,6.830790568654646,0.8538488210818308
1.8181818181818181,13.68,2.8874269005847952,0.3609283625730994
1.6666666666666667,13.06,1.4762633996937213,0.18453292496171517
1.5384615384615383,12.84,1.2165109034267911,0.1520638629283489
1.4285714285714286,12.42,1.1143317230273753,0.1392914653784219
1.3333333333333333,12.24,0.9983660130718954,0.12479575163398693
1.25,12.12,0.9092409240924093,0.11365511551155116
1.1764705882352942,11.76,0.8673469387755102,0.10841836734693877
1.1111111111111112,11.62,0.810671256454389,0.10133390705679862
1.0526315789473684,11.44,0.7727272727272727,0.09659090909090909
1.0,11.44,0.7272727272727273,0.09090909090909091
