period,time,speedup
0.05,898.52,7.214218937808841
0.1,227.92,12.498332748332748
0.15,115.78,17.221627224045605
0.2,73.46,16.25210999183229
0.25,52.58,15.692658805629517
0.3,45.3,12.37924944812362
0.35,43.5,8.937011494252873
0.4,42.48,6.093220338983051
0.45,36.06,4.546311702717692
0.5,41.22,2.3896166909267347
0.55,41.18,0.9592034968431278
0.6,40.98,0.4704734016593461
0.65,40.72,0.3835952848722986
0.7,40.46,0.34206623826000987
0.75,40.4,0.3024752475247525
0.8,40.42,0.272637308263236
0.85,40.34,0.2528507684680218
0.9,40.26,0.23397913561847988
0.95,40.16,0.22011952191235062
1.0,39.2,0.21224489795918366
