frequency,time,speedup,efficiency
20.0,3039.8,2.1324166063556813,0.5331041515889203
10.0,1031.12,2.76264644270308,0.69066161067577
6.666666666666667,456.98,4.363254409383343,1.0908136023458357
5.0,243.66,4.899778379709431,1.2249445949273579
4.0,150.36,5.487629688747007,1.3719074221867518
3.3333333333333335,75.66,7.411842453079567,1.8529606132698917
2.857142857142857,46.72,8.321061643835616,2.080265410958904
2.5,31.54,8.206721623335447,2.051680405833862
2.2222222222222223,21.6,7.589814814814814,1.8974537037037036
2.0,18.24,5.400219298245615,1.3500548245614037
1.8181818181818181,14.82,2.6653171390013495,0.6663292847503374
1.6666666666666667,13.0,1.4830769230769232,0.3707692307692308
1.5384615384615383,11.98,1.3038397328881468,0.3259599332220367
1.4285714285714286,10.92,1.2673992673992673,0.31684981684981683
1.3333333333333333,10.48,1.166030534351145,0.29150763358778625
1.25,10.0,1.1019999999999999,0.27549999999999997
1.1764705882352942,9.6,1.0625,0.265625
1.1111111111111112,9.22,1.021691973969631,0.25542299349240777
1.0526315789473684,8.96,0.9866071428571428,0.2466517857142857
1.0,8.62,0.9651972157772623,0.24129930394431556
