period,time,speedup
0.05,1035.76,6.258322391287557
0.1,211.2,13.487784090909091
0.15,65.86,30.275129061645917
0.2,39.4,30.3015228426396
0.25,29.94,27.559118236472944
0.3,23.44,23.924061433447097
0.35,19.76,19.67408906882591
0.4,17.3,14.961849710982657
0.45,15.44,10.617875647668393
0.5,14.42,6.830790568654646
0.55,13.68,2.8874269005847952
0.6,13.06,1.4762633996937213
0.65,12.84,1.2165109034267911
0.7,12.42,1.1143317230273753
0.75,12.24,0.9983660130718954
0.8,12.12,0.9092409240924093
0.85,11.76,0.8673469387755102
0.9,11.62,0.810671256454389
0.95,11.44,0.7727272727272727
1.0,11.44,0.7272727272727273
