frequency,time,speedup,efficiency
20.0,803.4,8.068359472242967,0.5042724670151855
10.0,187.06,15.22837592216401,0.9517734951352507
6.666666666666667,63.82,31.242870573487934,1.952679410842996
5.0,27.32,43.69985358711567,2.7312408491947293
4.0,27.34,30.17995610826628,1.8862472567666424
3.3333333333333335,25.64,21.87129485179407,1.3669559282371293
2.857142857142857,24.46,15.893704006541292,0.9933565004088307
2.5,23.7,10.921518987341772,0.6825949367088607
2.2222222222222223,23.08,7.1031195840554595,0.4439449740034662
2.0,22.64,4.3507067137809186,0.2719191696113074
1.8181818181818181,22.26,1.7744833782569631,0.1109052111410602
1.6666666666666667,22.08,0.8731884057971016,0.05457427536231885
1.5384615384615383,21.9,0.7132420091324201,0.044577625570776255
1.4285714285714286,21.66,0.6389658356417359,0.039935364727608495
1.3333333333333333,21.34,0.5726335520149953,0.03578959700093721
1.25,21.16,0.5207939508506616,0.03254962192816635
1.1764705882352942,21.14,0.48249763481551555,0.030156102175969722
1.1111111111111112,20.92,0.45028680688336514,0.02814292543021032
1.0526315789473684,20.9,0.4229665071770335,0.026435406698564593
1.0,20.28,0.41025641025641024,0.02564102564102564
