frequency,time,speedup,efficiency
20.0,898.52,7.214218937808841,0.22544434180652628
10.0,227.92,12.498332748332748,0.3905728983853984
6.666666666666667,115.78,17.221627224045605,0.5381758507514252
5.0,73.46,16.25210999183229,0.5078784372447591
4.0,52.58,15.692658805629517,0.4903955876759224
3.3333333333333335,45.3,12.37924944812362,0.3868515452538631
2.857142857142857,43.5,8.937011494252873,0.2792816091954023
2.5,42.48,6.093220338983051,0.19041313559322035
2.2222222222222223,36.06,4.546311702717692,0.14207224070992788
2.0,41.22,2.3896166909267347,0.07467552159146046
1.8181818181818181,41.18,0.9592034968431278,0.029975109276347743
1.6666666666666667,40.98,0.4704734016593461,0.014702293801854565
1.5384615384615383,40.72,0.3835952848722986,0.011987352652259331
1.4285714285714286,40.46,0.34206623826000987,0.010689569945625308
1.3333333333333333,40.4,0.3024752475247525,0.009452351485148516
1.25,40.42,0.272637308263236,0.008519915883226125
1.1764705882352942,40.34,0.2528507684680218,0.007901586514625681
1.1111111111111112,40.26,0.23397913561847988,0.007311847988077496
1.0526315789473684,40.16,0.22011952191235062,0.006878735059760957
1.0,39.2,0.21224489795918366,0.0066326530612244895
