period,time,speedup
0.05,803.4,8.068359472242967
0.1,187.06,15.22837592216401
0.15,63.82,31.242870573487934
0.2,27.32,43.69985358711567
0.25,27.34,30.17995610826628
0.3,25.64,21.87129485179407
0.35,24.46,15.893704006541292
0.4,23.7,10.921518987341772
0.45,23.08,7.1031195840554595
0.5,22.64,4.3507067137809186
0.55,22.26,1.7744833782569631
0.6,22.08,0.8731884057971016
0.65,21.9,0.7132420091324201
0.7,21.66,0.6389658356417359
0.75,21.34,0.5726335520149953
0.8,21.16,0.5207939508506616
0.85,21.14,0.48249763481551555
0.9,20.92,0.45028680688336514
0.95,20.9,0.4229665071770335
1.0,20.28,0.41025641025641024
