period,time,speedup
0.05,3039.8,2.1324166063556813
0.1,1031.12,2.76264644270308
0.15,456.98,4.363254409383343
0.2,243.66,4.899778379709431
0.25,150.36,5.487629688747007
0.3,75.66,7.411842453079567
0.35,46.72,8.321061643835616
0.4,31.54,8.206721623335447
0.45,21.6,7.589814814814814
0.5,18.24,5.400219298245615
0.55,14.82,2.6653171390013495
0.6,13.0,1.4830769230769232
0.65,11.98,1.3038397328881468
0.7,10.92,1.2673992673992673
0.75,10.48,1.166030534351145
0.8,10.0,1.1019999999999999
0.85,9.6,1.0625
0.9,9.22,1.021691973969631
0.95,8.96,0.9866071428571428
1.0,8.62,0.9651972157772623
